ID,Material,Vision Description Target,Project Idea,Difficulty,Time to Complete,Instructions
263,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Eco-friendly Cat Scratching Pad (Var.912),Intermediate,74 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with dried organic organic catnip!"
264,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Aesthetic Decorative Pencil Holder (Var.601),Easy,25 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of burlap to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
265,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Minimalist Paper Mache Decorative Bowl (Var.956),Intermediate,57 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it pastel blue."
266,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Premium Vertical Succulent Garden (Var.441),Advanced,120 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable geometric patterned paper tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Spider Plant tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
267,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Dynamic Paper Mache Decorative Bowl (Var.660),Intermediate,61 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it vibrant yellow."
268,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Upcycled Decorative Pencil Holder (Var.530),Easy,14 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of lace to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
269,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Premium Custom Drawer Organizers (Var.757),Easy,35 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize keys and wallets."
270,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Modern Pencil Shaving Texture Art (Var.898),Easy,14 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a owl in flight.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
271,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Handcrafted Custom Drawer Organizers (Var.257),Easy,30 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize jewelry."
272,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Bespoke Exfoliating Body Scrub (Var.342),Easy,6 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted jojoba oil.
3. Add 1/4 cup of coarse white granulated sugar for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
273,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Bespoke Biodegradable Seed Starters (Var.979),Easy,25 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Spider Plant seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
274,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Handcrafted Hanging Bird Feeder (Var.285),Easy,29 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a sturdy twig through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
275,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Upcycled Pencil Shaving Texture Art (Var.312),Easy,28 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a vibrant sunflower.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
276,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Upcycled Geometric Cork Board (Var.484),Intermediate,57 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish chevron pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
277,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Bespoke Rustic Tealight Holder (Var.417),Easy,10 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap hemp cord tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried chamomile to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
278,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Rustic Braided Dog Tug Toy (Var.448),Easy,21 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your teacup dog."
279,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Upcycled Exfoliating Body Scrub (Var.692),Easy,5 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted coconut oil.
3. Add 1/4 cup of coarse raw cane sugar for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
280,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Modern Cat Scratching Pad (Var.835),Intermediate,60 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with silvervine powder!"
281,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Bespoke Rustic Tealight Holder (Var.651),Easy,6 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap hemp cord tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried baby's breath to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
282,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Bespoke Custom Drawer Organizers (Var.221),Easy,39 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize office supplies."
